GlobalNo,Category,PdfSlNo,Status,Evidence,RuleText
313,A,313,Missing,Same as #277 -- AssesseeRepresentativeProfile has no PAN field.,"Donee PAN should not be same as ""Assessee PAN"" or ""PAN at Verification"""
597,A,597,Missing,input_rules.py:1118-1128 own comment confirms no 112(1)(c)/115AC-specific CG classification exists in CGAssetType/CGTransaction,"In Schedule CG, if sl.no.5  in sl.no.B. in LTCG is being filled, then its mandatory to select the section code i.e., 115AD/112(1)(c ) or 115AC"
599,A,599,Missing,no defective-notice / prior-return-regime-tracking concept exists anywhere in ITR2Input,Please choose the same tax regime that the taxpayer selected in the return for which the response to the defective notice is being filed.
600,A,600,Missing,no 'buyback' classification exists anywhere in schemas/itr2.py (grep confirmed no match),Kindly fill in the details of dividend in Sl. No. 1a(iii) of schedule OS if buy back loss is claimed in schedule CG
664,A,664,Missing,"Phase 1 research spike (2026-09-12): confirmed via the official ERI API Specification (Reference Docs by CBDT & ITD/Official ERI REFERENCE Documentation/ERI API Specification_v1.1.pdf) -- the ERI program's full API catalog is exactly {Login, Prefill, Validation, Verification, Submit, Add Client, Get Acknowledgement}, with no PAN-database name/DOB verification service anywhere in it. This would require a separate NSDL PAN-verification product/partnership entirely outside the ERI integration this codebase has. Permanently out of scope; not planned.",Aadhaar number in Part A general information schedule should match with Aadhaar number as per profile
665,A,665,Missing,"Phase 1 research spike (2026-09-12): confirmed via the official ERI API Specification (Reference Docs by CBDT & ITD/Official ERI REFERENCE Documentation/ERI API Specification_v1.1.pdf) -- the ERI program's full API catalog is exactly {Login, Prefill, Validation, Verification, Submit, Add Client, Get Acknowledgement}, with no PAN-database name/DOB verification service anywhere in it. This would require a separate NSDL PAN-verification product/partnership entirely outside the ERI integration this codebase has. Permanently out of scope; not planned.",Aadhaar number in Part A general information schedule should match with Aadhaar number as per profile
773,BD,9,Missing,"Phase 1 research spike (2026-09-12): confirmed the ERI API spec scopes every Type-2 session to one PAN at a time by design (no API exposes another taxpayer's return data), so the general case cannot be verified. A narrow local cross-check IS technically possible when both parties happen to be clients of the same Taxify user (client/client_itr are both user-scoped in app/db/models.py) -- but this covers a small fraction of real cases and was judged not worth building as a partial rule implementation. Permanently out of scope; not planned.",TDS credited in hands of other person will be allowed to taxpayer only if that other person declares the same in schedule TDS of their ITR
774,BD,10,Missing,"Phase 1 research spike (2026-09-12): confirmed the ERI API spec scopes every Type-2 session to one PAN at a time by design (no API exposes another taxpayer's return data), so the general case cannot be verified. A narrow local cross-check IS technically possible when both parties happen to be clients of the same Taxify user (client/client_itr are both user-scoped in app/db/models.py) -- but this covers a small fraction of real cases and was judged not worth building as a partial rule implementation. Permanently out of scope; not planned.",TCS credited in the hands of other person will be allowed to taxpayer only if that other person declares the same in schedule TCS of their ITR
787,BD,23,Missing,"Phase 1 research spike (2026-09-12): exhaustively searched the prefill schema (Docs/PreFillSchemaJSON_V6.5/PreFillSchemaJSON_V6.5.json) for Aadhaar-linking/name-match fields -- only data-entry Aadhaar-number fields exist (e.g. co-owner/tenant Aadhaar), no linkage-status flag. The official ERI API catalog has no linking-status service either; the only place non-linkage would surface is a live Aadhaar-OTP e-verify attempt failing (Type-3 only, a downstream verification-time event, not a pre-compute check). Permanently out of scope; not planned.",Linking of Aadhar and PAN is required to avoid consequences of not linking PAN and Aadhar in eligible cases as per Circular 03/2023
788,BD,24,Missing,"Phase 1 research spike (2026-09-12): exhaustively searched the prefill schema (Docs/PreFillSchemaJSON_V6.5/PreFillSchemaJSON_V6.5.json) for Aadhaar-linking/name-match fields -- only data-entry Aadhaar-number fields exist (e.g. co-owner/tenant Aadhaar), no linkage-status flag. The official ERI API catalog has no linking-status service either; the only place non-linkage would surface is a live Aadhaar-OTP e-verify attempt failing (Type-3 only, a downstream verification-time event, not a pre-compute check). Permanently out of scope; not planned.",Quoting of Aadhar in ITR is required as per section 139(AA)in applicable cases and also linking of Aadhar and PAN is required to avoid consequences of not linking PAN and Aadhar in eligible cases as per Circular 03/2023
